State,City,District,Crime Type,Date & Time,Latitude,Longitude,Accused Age,Accused Gender,Prior Convictions,Victim Age,Victim Gender,Victim Relationship,FIR Filed,Case Status
Maharashtra,Thane,Mumbai,Theft,2020-07-21 14:51:30,19.076,72.8777,57,Female,1,16,Male,Colleague,No,Solved
Uttar Pradesh,Barabanki,Lucknow,Kidnapping,2023-11-09 19:08:30,26.8467,80.9462,60,Female,4,36,Female,Neighbor,Yes,Solved
Uttar Pradesh,Agra,Agra,Fraud,2022-11-08 00:25:30,27.1767,78.0081,38,Female,0,6,Female,Friend,Yes,Solved
Maharashtra,Pune,Pune,Theft,2023-07-14 20:03:30,18.5204,73.8567,39,Male,5,43,Female,Friend,No,Ongoing
Maharashtra,Nagpur,Nagpur,Fraud,2021-12-29 09:02:30,21.1458,79.0882,25,Male,1,53,Male,Family,No,Ongoing
Uttar Pradesh,Malihabad,Lucknow,Murder,2021-06-15 18:36:30,26.8467,80.9462,24,Male,0,9,Female,Family,No,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Kidnapping,2021-04-24 10:40:30,11.0168,76.9558,57,Female,3,64,Female,Family,Yes,Ongoing
Uttar Pradesh,Kanpur,Kanpur Nagar,Theft,2022-09-15 10:38:30,26.4499,80.3319,35,Female,1,64,Female,Family,No,Ongoing
Uttar Pradesh,Agra,Agra,Theft,2025-01-08 18:39:30,27.1767,78.0081,30,Female,1,11,Male,Neighbor,No,Solved
Maharashtra,Nagpur,Nagpur,Burglary,2024-09-12 03:25:30,21.1458,79.0882,50,Female,3,70,Male,Family,Yes,Ongoing
Tamil Nadu,Chennai,Chennai,Murder,2023-01-27 06:28:30,13.0827,80.2707,20,Male,2,5,Female,Friend,No,Ongoing
Uttar Pradesh,Varanasi,Varanasi,Kidnapping,2020-06-05 02:33:30,25.3176,82.9739,22,Male,0,60,Female,Neighbor,No,Solved
Maharashtra,Pune,Pune,Burglary,2023-03-19 23:23:30,18.5204,73.8567,45,Female,0,30,Female,Family,Yes,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Theft,2022-08-10 12:20:30,11.0168,76.9558,56,Male,1,59,Male,Friend,Yes,Solved
Maharashtra,Navi Mumbai,Mumbai,Burglary,2022-07-28 11:15:30,19.076,72.8777,34,Male,2,44,Male,Family,Yes,Solved
Uttar Pradesh,Varanasi,Varanasi,Fraud,2023-06-09 19:26:30,25.3176,82.9739,32,Female,5,53,Female,Friend,No,Unsolved
Tamil Nadu,Coimbatore,Coimbatore,Fraud,2022-03-31 09:39:30,11.0168,76.9558,48,Male,5,34,Female,Friend,Yes,Solved
Uttar Pradesh,Mohanlalganj,Lucknow,Fraud,2022-11-23 08:41:30,26.8467,80.9462,44,Female,0,9,Male,Neighbor,Yes,Unsolved
Tamil Nadu,Chennai,Chennai,Assault,2021-08-08 06:04:30,13.0827,80.2707,53,Male,4,64,Female,Neighbor,Yes,Unsolved
Tamil Nadu,Chennai,Chennai,Murder,2020-06-26 14:11:30,13.0827,80.2707,56,Male,1,19,Male,Colleague,Yes,Ongoing
Uttar Pradesh,Agra,Agra,Kidnapping,2020-05-22 11:22:30,27.1767,78.0081,39,Female,4,58,Male,Stranger,No,Ongoing
Maharashtra,Nagpur,Nagpur,Fraud,2020-07-25 00:24:30,21.1458,79.0882,28,Male,4,47,Female,Neighbor,No,Solved
Uttar Pradesh,Kanpur,Kanpur Nagar,Assault,2020-10-06 17:31:30,26.4499,80.3319,18,Male,4,68,Female,Neighbor,Yes,Solved
Maharashtra,Nagpur,Nagpur,Burglary,2020-04-23 16:56:30,21.1458,79.0882,57,Female,5,18,Male,Neighbor,No,Ongoing
Maharashtra,Pune,Pune,Assault,2020-11-24 06:42:30,18.5204,73.8567,56,Male,2,36,Female,Colleague,Yes,Unsolved
