State,City,District,Crime Type,Date & Time,Latitude,Longitude,Accused Age,Accused Gender,Prior Convictions,Victim Age,Victim Gender,Victim Relationship,FIR Filed,Case Status
Maharashtra,Thane,Mumbai,Theft,7/21/2020 14:51,19.076,72.8777,57,Female,1,16,Male,Colleague,No,Solved
Uttar Pradesh,Barabanki,Lucknow,Kidnapping,11/9/2023 19:08,26.8467,80.9462,60,Female,4,36,Female,Neighbor,Yes,Solved
Uttar Pradesh,Agra,Agra,Fraud,11/8/2022 0:25,27.1767,78.0081,38,Female,0,6,Female,Friend,Yes,Solved
Maharashtra,Pune,Pune,Theft,7/14/2023 20:03,18.5204,73.8567,39,Male,5,43,Female,Friend,No,Ongoing
Maharashtra,Nagpur,Nagpur,Fraud,12/29/2021 9:02,21.1458,79.0882,25,Male,1,53,Male,Family,No,Ongoing
Uttar Pradesh,Malihabad,Lucknow,Murder,6/15/2021 18:36,26.8467,80.9462,24,Male,0,9,Female,Family,No,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Kidnapping,4/24/2021 10:40,11.0168,76.9558,57,Female,3,64,Female,Family,Yes,Ongoing
Uttar Pradesh,Kanpur,Kanpur Nagar,Theft,9/15/2022 10:38,26.4499,80.3319,35,Female,1,64,Female,Family,No,Ongoing
Uttar Pradesh,Agra,Agra,Theft,1/8/2025 18:39,27.1767,78.0081,30,Female,1,11,Male,Neighbor,No,Solved
Maharashtra,Nagpur,Nagpur,Burglary,9/12/2024 3:25,21.1458,79.0882,50,Female,3,70,Male,Family,Yes,Ongoing
Tamil Nadu,Chennai,Chennai,Murder,1/27/2023 6:28,13.0827,80.2707,20,Male,2,5,Female,Friend,No,Ongoing
Uttar Pradesh,Varanasi,Varanasi,Kidnapping,6/5/2020 2:33,25.3176,82.9739,22,Male,0,60,Female,Neighbor,No,Solved
Maharashtra,Pune,Pune,Burglary,3/19/2023 23:23,18.5204,73.8567,45,Female,0,30,Female,Family,Yes,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Theft,8/10/2022 12:20,11.0168,76.9558,56,Male,1,59,Male,Friend,Yes,Solved
Maharashtra,Navi Mumbai,Mumbai,Burglary,7/28/2022 11:15,19.076,72.8777,34,Male,2,44,Male,Family,Yes,Solved
Uttar Pradesh,Varanasi,Varanasi,Fraud,6/9/2023 19:26,25.3176,82.9739,32,Female,5,53,Female,Friend,No,Unsolved
Tamil Nadu,Coimbatore,Coimbatore,Fraud,3/31/2022 9:39,11.0168,76.9558,48,Male,5,34,Female,Friend,Yes,Solved
Uttar Pradesh,Mohanlalganj,Lucknow,Fraud,11/23/2022 8:41,26.8467,80.9462,44,Female,0,9,Male,Neighbor,Yes,Unsolved
Tamil Nadu,Chennai,Chennai,Assault,8/8/2021 6:04,13.0827,80.2707,53,Male,4,64,Female,Neighbor,Yes,Unsolved
Tamil Nadu,Chennai,Chennai,Murder,6/26/2020 14:11,13.0827,80.2707,56,Male,1,19,Male,Colleague,Yes,Ongoing
Uttar Pradesh,Agra,Agra,Kidnapping,5/22/2020 11:22,27.1767,78.0081,39,Female,4,58,Male,Stranger,No,Ongoing
Maharashtra,Nagpur,Nagpur,Fraud,7/25/2020 0:24,21.1458,79.0882,28,Male,4,47,Female,Neighbor,No,Solved
Uttar Pradesh,Kanpur,Kanpur Nagar,Assault,10/6/2020 17:31,26.4499,80.3319,18,Male,4,68,Female,Neighbor,Yes,Solved
Maharashtra,Nagpur,Nagpur,Burglary,4/23/2020 16:56,21.1458,79.0882,57,Female,5,18,Male,Neighbor,No,Ongoing
Maharashtra,Pune,Pune,Assault,11/24/2020 6:42,18.5204,73.8567,56,Male,2,36,Female,Colleague,Yes,Unsolved
Tamil Nadu,Coimbatore,Coimbatore,Kidnapping,6/25/2021 9:10,11.0168,76.9558,46,Male,0,66,Female,Family,No,Solved
Uttar Pradesh,Kakori,Lucknow,Theft,11/9/2021 1:01,26.8467,80.9462,54,Male,1,25,Male,Neighbor,No,Ongoing
Uttar Pradesh,Agra,Agra,Assault,7/30/2021 1:50,27.1767,78.0081,27,Male,3,16,Male,Neighbor,No,Ongoing
Uttar Pradesh,Varanasi,Varanasi,Theft,2/1/2022 13:33,25.3176,82.9739,59,Female,0,54,Female,Colleague,Yes,Solved
Tamil Nadu,Coimbatore,Coimbatore,Fraud,2/15/2020 4:37,11.0168,76.9558,51,Female,4,54,Female,Family,Yes,Unsolved
Uttar Pradesh,Varanasi,Varanasi,Assault,5/31/2021 10:10,25.3176,82.9739,48,Male,3,6,Male,Colleague,No,Ongoing
Uttar Pradesh,Agra,Agra,Fraud,6/7/2020 15:55,27.1767,78.0081,52,Female,1,47,Female,Colleague,No,Ongoing
Maharashtra,Dombivli,Mumbai,Assault,12/10/2023 2:35,19.076,72.8777,47,Female,4,30,Male,Neighbor,Yes,Unsolved
Uttar Pradesh,Kanpur,Kanpur Nagar,Assault,12/13/2020 12:18,26.4499,80.3319,55,Male,1,48,Male,Family,Yes,Solved
Uttar Pradesh,Kanpur,Kanpur Nagar,Theft,8/28/2022 17:19,26.4499,80.3319,33,Female,2,49,Male,Family,No,Unsolved
Tamil Nadu,Coimbatore,Coimbatore,Assault,8/28/2020 13:48,11.0168,76.9558,60,Female,4,40,Female,Neighbor,No,Ongoing
Uttar Pradesh,Varanasi,Varanasi,Murder,1/17/2021 11:36,25.3176,82.9739,49,Male,4,66,Female,Neighbor,Yes,Unsolved
Uttar Pradesh,Varanasi,Varanasi,Kidnapping,2/6/2022 6:35,25.3176,82.9739,41,Female,4,73,Male,Stranger,Yes,Ongoing
Maharashtra,Nagpur,Nagpur,Kidnapping,11/29/2023 9:48,21.1458,79.0882,32,Male,3,76,Male,Neighbor,No,Ongoing
Uttar Pradesh,Agra,Agra,Assault,10/26/2021 4:10,27.1767,78.0081,24,Male,3,25,Female,Neighbor,No,Unsolved
Uttar Pradesh,Agra,Agra,Kidnapping,2/15/2020 18:59,27.1767,78.0081,55,Male,1,43,Male,Friend,Yes,Solved
Uttar Pradesh,Kanpur,Kanpur Nagar,Assault,2/8/2021 13:00,26.4499,80.3319,30,Male,3,79,Male,Family,No,Ongoing
Uttar Pradesh,Agra,Agra,Theft,1/18/2024 11:25,27.1767,78.0081,43,Male,0,54,Male,Neighbor,No,Solved
Maharashtra,Pune,Pune,Murder,11/17/2023 0:02,18.5204,73.8567,56,Female,4,72,Female,Family,Yes,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Kidnapping,11/13/2023 21:26,11.0168,76.9558,35,Female,2,17,Female,Family,Yes,Unsolved
Tamil Nadu,Chennai,Chennai,Burglary,8/5/2021 5:41,13.0827,80.2707,37,Female,4,6,Male,Stranger,Yes,Unsolved
Uttar Pradesh,Varanasi,Varanasi,Burglary,4/20/2021 2:54,25.3176,82.9739,18,Male,3,32,Female,Stranger,Yes,Ongoing
Uttar Pradesh,Varanasi,Varanasi,Theft,1/25/2022 8:56,25.3176,82.9739,50,Male,5,79,Male,Colleague,Yes,Unsolved
Maharashtra,Nagpur,Nagpur,Kidnapping,2/20/2021 17:36,21.1458,79.0882,51,Male,2,77,Male,Neighbor,Yes,Ongoing
Maharashtra,Nagpur,Nagpur,Murder,8/11/2021 19:09,21.1458,79.0882,18,Male,3,36,Male,Family,No,Ongoing
Maharashtra,Pune,Pune,Kidnapping,12/17/2021 18:12,18.5204,73.8567,39,Female,3,65,Male,Colleague,Yes,Unsolved
Uttar Pradesh,Kanpur,Kanpur Nagar,Fraud,6/25/2022 20:34,26.4499,80.3319,41,Female,5,51,Female,Neighbor,No,Unsolved
Tamil Nadu,Coimbatore,Coimbatore,Theft,10/25/2020 13:32,11.0168,76.9558,58,Female,1,79,Female,Friend,No,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Fraud,6/11/2021 3:41,11.0168,76.9558,29,Female,5,20,Male,Stranger,No,Ongoing
Uttar Pradesh,Varanasi,Varanasi,Assault,3/25/2021 0:02,25.3176,82.9739,19,Female,3,36,Male,Family,No,Solved
Maharashtra,Vasai,Mumbai,Burglary,1/25/2023 8:54,19.076,72.8777,52,Male,0,79,Male,Friend,No,Ongoing
Maharashtra,Nagpur,Nagpur,Fraud,10/27/2023 11:54,21.1458,79.0882,43,Female,5,29,Male,Stranger,Yes,Ongoing
Uttar Pradesh,Bakshi Ka Talab,Lucknow,Murder,11/10/2021 18:18,26.8467,80.9462,27,Male,0,46,Female,Stranger,No,Unsolved
Maharashtra,Kalyan,Mumbai,Kidnapping,2/26/2024 13:29,19.076,72.8777,25,Female,3,14,Male,Family,Yes,Ongoing
Tamil Nadu,Chennai,Chennai,Theft,10/4/2024 13:10,13.0827,80.2707,46,Female,4,53,Female,Friend,Yes,Ongoing
Maharashtra,Pune,Pune,Burglary,5/8/2022 10:56,18.5204,73.8567,50,Male,2,23,Female,Colleague,No,Ongoing
Maharashtra,Nagpur,Nagpur,Kidnapping,12/17/2023 16:14,21.1458,79.0882,37,Male,4,20,Female,Colleague,No,Unsolved
Tamil Nadu,Chennai,Chennai,Kidnapping,4/7/2022 14:31,13.0827,80.2707,19,Male,4,77,Male,Colleague,Yes,Ongoing
Maharashtra,Mira Bhayandar,Mumbai,Fraud,1/8/2025 19:34,19.076,72.8777,22,Female,0,55,Female,Neighbor,Yes,Unsolved
Uttar Pradesh,Kanpur,Kanpur Nagar,Murder,3/7/2024 6:21,26.4499,80.3319,58,Male,5,55,Female,Stranger,Yes,Unsolved
Uttar Pradesh,Agra,Agra,Kidnapping,12/2/2020 0:03,27.1767,78.0081,35,Female,1,59,Male,Neighbor,Yes,Solved
Maharashtra,Nagpur,Nagpur,Burglary,10/15/2024 6:56,21.1458,79.0882,46,Female,4,29,Male,Friend,No,Unsolved
Uttar Pradesh,Agra,Agra,Burglary,6/3/2021 3:12,27.1767,78.0081,22,Male,5,39,Female,Friend,No,Solved
Uttar Pradesh,Kanpur,Kanpur Nagar,Kidnapping,5/13/2022 12:49,26.4499,80.3319,45,Female,5,40,Female,Family,No,Unsolved
Tamil Nadu,Chennai,Chennai,Fraud,9/24/2020 13:49,13.0827,80.2707,27,Female,0,70,Female,Stranger,No,Ongoing
Uttar Pradesh,Chinhat,Lucknow,Theft,6/13/2020 7:54,26.8467,80.9462,60,Female,2,55,Male,Neighbor,Yes,Ongoing
Tamil Nadu,Chennai,Chennai,Theft,7/28/2024 7:07,13.0827,80.2707,60,Female,0,11,Male,Stranger,No,Solved
Maharashtra,Thane,Thane,Burglary,7/29/2024 4:51,19.2183,72.9781,59,Female,0,75,Male,Stranger,Yes,Unsolved
Maharashtra,Pune,Pune,Fraud,11/5/2022 11:29,18.5204,73.8567,53,Female,4,14,Male,Family,No,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Theft,1/3/2024 20:38,11.0168,76.9558,31,Male,2,12,Male,Friend,Yes,Unsolved
Maharashtra,Nagpur,Nagpur,Fraud,11/4/2024 22:50,21.1458,79.0882,57,Male,5,40,Male,Stranger,No,Unsolved
