id,crime_type,address,description,reported_at,latitude,longitude
1,Fraud,"MI Road, Jaipur, Rajasthan",Reported fraud incident.,2025-03-21T07:31:33.800036Z,26.9124,75.7873
2,Drug Possession,"MI Road, Jaipur, Rajasthan",Reported drug possession incident.,2025-03-02T07:31:33.800044Z,26.9124,75.7873
3,Vandalism,"Sector 17, Chandigarh",Reported vandalism incident.,2025-03-27T07:31:33.800051Z,30.7353,76.7789
4,Fraud,"MI Road, Jaipur, Rajasthan",Reported fraud incident.,2025-03-07T07:31:33.800058Z,26.9124,75.7873
5,Drug Possession,"Charminar, Hyderabad, Telangana",Reported drug possession incident.,2025-03-31T07:31:33.800065Z,17.3616,78.4747
6,Drug Possession,"Marine Drive, Mumbai, Maharashtra",Reported drug possession incident.,2025-03-29T07:31:33.800078Z,18.9436,72.8235
7,Murder,"Charminar, Hyderabad, Telangana",Reported murder incident.,2025-03-17T07:31:33.800085Z,17.3616,78.4747
8,Kidnapping,"Marine Drive, Mumbai, Maharashtra",Reported kidnapping incident.,2025-03-10T07:31:33.800092Z,18.9436,72.8235
9,Burglary,"MI Road, Jaipur, Rajasthan",Reported burglary incident.,2025-03-20T07:31:33.800099Z,26.9124,75.7873
10,Drug Possession,"MG Road, Bengaluru, Karnataka",Reported drug possession incident.,2025-03-18T07:31:33.800104Z,12.9716,77.5946
11,Assault,"Connaught Place, New Delhi",Reported assault incident.,2025-03-25T07:31:33.800110Z,28.6328,77.2197
12,Murder,"Connaught Place, New Delhi",Reported murder incident.,2025-03-20T07:31:33.800116Z,28.6328,77.2197
13,Burglary,"Anna Salai, Chennai, Tamil Nadu",Reported burglary incident.,2025-03-05T07:31:33.800122Z,13.063,80.2606
14,Drug Possession,"Anna Salai, Chennai, Tamil Nadu",Reported drug possession incident.,2025-03-23T07:31:33.800127Z,13.063,80.2606
15,Assault,"Anna Salai, Chennai, Tamil Nadu",Reported assault incident.,2025-03-08T07:31:33.800133Z,13.063,80.2606
16,Vandalism,"Charminar, Hyderabad, Telangana",Reported vandalism incident.,2025-03-17T07:31:33.800138Z,17.3616,78.4747
17,Assault,"Marine Drive, Mumbai, Maharashtra",Reported assault incident.,2025-03-31T07:31:33.800144Z,18.9436,72.8235
18,Theft,"Charminar, Hyderabad, Telangana",Reported theft incident.,2025-03-01T07:31:33.800149Z,17.3616,78.4747
19,Theft,"Gandhi Nagar, Jammu",Reported theft incident.,2025-03-04T07:31:33.800155Z,32.7186,74.8581
20,Theft,"Sector 17, Chandigarh",Reported theft incident.,2025-03-18T07:31:33.800161Z,30.7353,76.7789
21,Assault,"MG Road, Bengaluru, Karnataka",Reported assault incident.,2025-03-04T07:31:33.800168Z,12.9716,77.5946
22,Murder,"Salt Lake, Kolkata, West Bengal",Reported murder incident.,2025-03-17T07:31:33.800174Z,22.5832,88.4088
23,Kidnapping,"Charminar, Hyderabad, Telangana",Reported kidnapping incident.,2025-03-26T07:31:33.800180Z,17.3616,78.4747
