ward,crime_type,month,crime_count
Brahmand,Assault,2018-02,1
Brahmand,Assault,2019-07,1
Brahmand,Assault,2019-11,1
Brahmand,Assault,2019-12,1
Brahmand,Assault,2020-02,1
Brahmand,Assault,2020-06,1
Brahmand,Assault,2020-10,1
Brahmand,Assault,2021-01,1
Brahmand,Assault,2021-04,1
Brahmand,Assault,2021-06,1
Brahmand,Assault,2022-02,1
Brahmand,Assault,2023-03,1
Brahmand,Assault,2023-07,2
Brahmand,Assault,2023-12,1
Brahmand,Assault,2024-01,1
Brahmand,Assault,2024-12,1
Brahmand,Assault,2025-05,1
Brahmand,Assault,2025-06,1
Brahmand,Assault,2025-09,1
Brahmand,Cheating,2018-04,2
Brahmand,Cheating,2019-04,1
Brahmand,Cheating,2019-09,1
Brahmand,Cheating,2019-11,1
Brahmand,Cheating,2020-03,1
Brahmand,Cheating,2020-07,1
Brahmand,Cheating,2020-10,1
Brahmand,Cheating,2021-01,1
Brahmand,Cheating,2022-02,1
Brahmand,Cheating,2022-05,1
Brahmand,Cheating,2022-11,1
Brahmand,Cheating,2023-03,1
Brahmand,Cheating,2023-09,2
Brahmand,Cheating,2024-01,1
Brahmand,Cheating,2024-02,1
Brahmand,Cheating,2024-06,1
Brahmand,Cheating,2024-09,1
Brahmand,Cheating,2024-11,1
Brahmand,Cheating,2025-02,1
Brahmand,Cheating,2025-03,2
Brahmand,Cheating,2025-06,1
Brahmand,Cheating,2025-10,1
Brahmand,Cybercrime,2018-07,1
Brahmand,Cybercrime,2019-01,1
Brahmand,Cybercrime,2019-03,1
Brahmand,Cybercrime,2019-09,1
Brahmand,Cybercrime,2020-04,1
Brahmand,Cybercrime,2020-07,1
Brahmand,Cybercrime,2020-10,1
Brahmand,Cybercrime,2020-12,1
Brahmand,Cybercrime,2021-05,1
Brahmand,Cybercrime,2021-06,1
Brahmand,Cybercrime,2021-11,1
Brahmand,Cybercrime,2022-04,1
Brahmand,Cybercrime,2023-06,1
Brahmand,Cybercrime,2023-09,1
Brahmand,Cybercrime,2023-10,2
Brahmand,Cybercrime,2024-09,1
Brahmand,Cybercrime,2024-11,1
Brahmand,Cybercrime,2025-03,1
Brahmand,Domestic Violence,2018-09,1
Brahmand,Domestic Violence,2019-01,1
Brahmand,Domestic Violence,2020-10,1
Brahmand,Domestic Violence,2021-01,1
Brahmand,Domestic Violence,2021-02,1
Brahmand,Domestic Violence,2021-10,1
Brahmand,Domestic Violence,2021-11,2
Brahmand,Domestic Violence,2021-12,1
Brahmand,Domestic Violence,2022-01,1
Brahmand,Domestic Violence,2023-03,1
Brahmand,Domestic Violence,2023-04,1
Brahmand,Domestic Violence,2023-08,1
Brahmand,Domestic Violence,2024-02,1
Brahmand,Domestic Violence,2025-01,1
Brahmand,Domestic Violence,2025-07,1
Brahmand,Drug Offense,2018-02,1
Brahmand,Drug Offense,2020-01,1
Brahmand,Drug Offense,2020-05,1
Brahmand,Drug Offense,2020-06,2
Brahmand,Drug Offense,2020-11,1
Brahmand,Drug Offense,2021-02,1
Brahmand,Drug Offense,2021-07,2
Brahmand,Drug Offense,2021-10,1
Brahmand,Drug Offense,2022-07,1
Brahmand,Drug Offense,2022-10,1
Brahmand,Drug Offense,2022-11,1
Brahmand,Drug Offense,2023-06,1
Brahmand,Drug Offense,2024-01,1
Brahmand,Drug Offense,2024-09,1
Brahmand,Drug Offense,2024-12,1
Brahmand,Drug Offense,2025-07,1
Brahmand,Drug Offense,2025-08,1
Brahmand,Drug Offense,2025-12,1
Brahmand,Fraud,2018-11,1
Brahmand,Fraud,2019-01,1
Brahmand,Fraud,2019-07,1
Brahmand,Fraud,2019-08,1
Brahmand,Fraud,2020-04,1
Brahmand,Fraud,2020-08,1
Brahmand,Fraud,2020-10,1
Brahmand,Fraud,2020-11,1
Brahmand,Fraud,2022-08,1
Brahmand,Fraud,2022-12,1
Brahmand,Fraud,2023-02,1
Brahmand,Fraud,2023-11,1
Brahmand,Fraud,2024-12,1
Brahmand,Fraud,2025-05,1
Brahmand,Fraud,2025-11,1
Brahmand,Fraud,2025-12,1
Brahmand,Kidnapping,2018-06,1
Brahmand,Kidnapping,2018-08,2
Brahmand,Kidnapping,2019-02,1
Brahmand,Kidnapping,2019-06,1
Brahmand,Kidnapping,2019-08,1
Brahmand,Kidnapping,2019-09,1
Brahmand,Kidnapping,2020-09,1
Brahmand,Kidnapping,2021-04,1
Brahmand,Kidnapping,2023-01,2
Brahmand,Kidnapping,2023-06,1
Brahmand,Kidnapping,2024-03,2
Brahmand,Kidnapping,2024-04,1
Brahmand,Kidnapping,2024-06,1
Brahmand,Kidnapping,2024-08,1
Brahmand,Kidnapping,2024-10,1
Brahmand,Kidnapping,2024-11,1
Brahmand,Kidnapping,2025-03,1
Brahmand,Kidnapping,2025-04,1
Brahmand,Kidnapping,2025-09,1
Brahmand,Kidnapping,2025-10,1
Brahmand,Murder,2019-01,1
Brahmand,Murder,2019-04,1
Brahmand,Murder,2020-12,1
Brahmand,Murder,2021-03,1
Brahmand,Murder,2021-05,1
Brahmand,Murder,2024-01,1
Brahmand,Murder,2024-07,1
Brahmand,Murder,2024-08,1
Brahmand,Murder,2024-10,1
Brahmand,Murder,2025-02,1
Brahmand,Robbery,2018-01,1
Brahmand,Robbery,2018-10,1
Brahmand,Robbery,2019-04,2
Brahmand,Robbery,2019-06,1
Brahmand,Robbery,2019-11,1
Brahmand,Robbery,2020-02,2
Brahmand,Robbery,2020-05,1
Brahmand,Robbery,2021-09,3
Brahmand,Robbery,2021-10,1
Brahmand,Robbery,2021-11,1
Brahmand,Robbery,2022-03,1
Brahmand,Robbery,2022-06,1
Brahmand,Robbery,2022-12,1
Brahmand,Robbery,2023-02,1
Brahmand,Robbery,2023-10,1
Brahmand,Robbery,2024-01,1
Brahmand,Robbery,2025-04,1
Brahmand,Robbery,2025-05,1
Brahmand,Robbery,2025-12,1
Brahmand,Theft,2018-01,1
Brahmand,Theft,2018-07,1
Brahmand,Theft,2019-05,1
Brahmand,Theft,2019-06,1
Brahmand,Theft,2019-12,1
Brahmand,Theft,2020-08,1
Brahmand,Theft,2021-11,1
Brahmand,Theft,2023-01,1
Brahmand,Theft,2023-05,2
Brahmand,Theft,2023-10,1
Brahmand,Theft,2024-02,1
Brahmand,Theft,2024-07,1
Brahmand,Theft,2025-03,1
Brahmand,Theft,2025-11,1
Charai,Assault,2018-06,1
Charai,Assault,2018-07,2
Charai,Assault,2018-11,1
Charai,Assault,2019-07,1
Charai,Assault,2019-08,1
Charai,Assault,2020-02,1
Charai,Assault,2020-07,1
Charai,Assault,2021-03,1
Charai,Assault,2021-09,1
Charai,Assault,2021-12,1
Charai,Assault,2022-06,1
Charai,Assault,2022-09,1
Charai,Assault,2022-11,1
Charai,Assault,2023-08,1
Charai,Assault,2023-10,1
Charai,Assault,2024-01,1
Charai,Assault,2024-02,2
Charai,Assault,2024-08,1
Charai,Assault,2025-03,1
Charai,Assault,2025-06,2
Charai,Assault,2025-10,1
Charai,Cheating,2018-01,1
Charai,Cheating,2018-08,1
Charai,Cheating,2018-10,1
Charai,Cheating,2018-12,2
Charai,Cheating,2019-04,1
Charai,Cheating,2020-05,1
Charai,Cheating,2020-06,1
Charai,Cheating,2020-08,1
Charai,Cheating,2020-09,1
Charai,Cheating,2020-11,1
Charai,Cheating,2021-02,1
Charai,Cheating,2021-07,1
Charai,Cheating,2021-10,1
Charai,Cheating,2022-05,2
Charai,Cheating,2022-08,1
Charai,Cheating,2022-11,2
Charai,Cheating,2023-04,1
Charai,Cheating,2025-01,1
Charai,Cheating,2025-06,1
Charai,Cheating,2025-09,1
Charai,Cheating,2025-11,1
Charai,Cybercrime,2018-08,1
Charai,Cybercrime,2018-11,2
Charai,Cybercrime,2019-04,1
Charai,Cybercrime,2019-06,1
Charai,Cybercrime,2019-07,1
Charai,Cybercrime,2020-01,1
Charai,Cybercrime,2020-02,1
Charai,Cybercrime,2020-06,1
Charai,Cybercrime,2020-12,1
Charai,Cybercrime,2021-03,1
Charai,Cybercrime,2021-04,1
Charai,Cybercrime,2021-08,2
Charai,Cybercrime,2021-11,1
Charai,Cybercrime,2021-12,1
Charai,Cybercrime,2022-02,1
Charai,Cybercrime,2022-12,1
Charai,Cybercrime,2023-01,2
Charai,Cybercrime,2023-07,1
Charai,Cybercrime,2023-10,1
Charai,Cybercrime,2024-06,1
Charai,Cybercrime,2024-11,1
Charai,Cybercrime,2025-07,2
Charai,Domestic Violence,2018-01,1
Charai,Domestic Violence,2018-04,1
Charai,Domestic Violence,2018-08,1
Charai,Domestic Violence,2019-02,1
