State,City,District,Crime Type,Date & Time,Latitude,Longitude,Accused Age,Accused Gender,Prior Convictions,Victim Age,Victim Gender,Victim Relationship,FIR Filed,Case Status,Area
Maharashtra,Thane,Thane,Domestic Violence,11/28/2021 18:30,19.214585,73.113167,48,Male,5,54,Female,Neighbor,No,Ongoing,Ghodbunder Road
Maharashtra,Thane,Thane,Assault,1/5/2022 7:08,19.193669,73.048841,59,Male,0,12,Male,Stranger,No,Pending,Dhokali
Maharashtra,Thane,Thane,Domestic Violence,4/26/2020 5:39,19.195324,73.05323,26,Male,1,51,Male,Family,No,Ongoing,Ghodbunder Road
Maharashtra,Thane,Thane,Fraud,5/31/2024 18:04,19.265285,72.954946,43,Male,1,58,Male,Stranger,No,Pending,Saket
Maharashtra,Thane,Thane,Fraud,11/28/2020 14:00,19.293765,73.043807,38,Male,2,37,Female,Colleague,Yes,Solved,Panchpakhadi
Maharashtra,Thane,Thane,Fraud,11/22/2023 9:49,19.2183,72.9781,21,Female,4,30,Female,Family,Yes,Unsolved,Teen Hath Naka
Maharashtra,Thane,Thane,Assault,5/23/2024 8:28,19.23073,73.168028,23,Male,1,48,Female,Colleague,Yes,Ongoing,Kolshet
Maharashtra,Thane,Thane,Theft,6/16/2023 15:44,19.2183,72.9781,53,Female,1,66,Male,Stranger,No,Ongoing,Panchpakhadi
Maharashtra,Thane,Thane,Theft,6/16/2023 15:44,19.2183,72.9781,53,Female,1,66,Male,Stranger,No,Ongoing,Kasarvadavali
Maharashtra,Thane,Thane,Kidnapping,11/16/2021 7:22,19.279522,73.054222,27,Male,1,10,Female,Neighbor,Yes,Ongoing,Teen Hath Naka
Maharashtra,Thane,Thane,Fraud,11/19/2020 6:09,19.23563,73.050887,38,Female,2,66,Female,Friend,No,Pending,Teen Hath Naka
Maharashtra,Thane,Thane,Drug Offense,4/21/2019 9:30,19.282581,73.118706,61,Male,5,73,Female,Family,No,Ongoing,Panchpakhadi
Maharashtra,Thane,Thane,Kidnapping,12/26/2020 0:23,19.23673,73.003625,27,Female,1,80,Female,Stranger,Yes,Ongoing,Saket
Maharashtra,Thane,Thane,Fraud,4/30/2021 20:35,19.244916,73.015361,54,Female,5,11,Female,Friend,Yes,Ongoing,Kolshet
Maharashtra,Thane,Thane,Domestic Violence,11/2/2020 7:48,19.187656,72.910114,61,Male,5,52,Female,Family,No,Ongoing,Naupada
Maharashtra,Thane,Thane,Robbery,9/22/2019 10:52,19.213669,72.967328,61,Male,0,45,Male,Neighbor,No,Ongoing,Vartak Nagar
Maharashtra,Thane,Thane,Domestic Violence,6/14/2025 3:45,19.182513,73.161635,32,Male,1,10,Male,Friend,Yes,Ongoing,Patlipada
Maharashtra,Thane,Thane,Cheating,9/15/2025 18:41,19.150773,73.109802,47,Female,0,50,Female,Stranger,No,Solved,Louis Wadi
Maharashtra,Thane,Thane,Robbery,7/30/2020 2:08,19.154332,72.957947,44,Male,1,10,Female,Family,No,Solved,Kopri
Maharashtra,Thane,Thane,Assault,7/16/2020 11:15,19.2183,72.9781,32,Male,2,47,Male,Stranger,No,Ongoing,Panchpakhadi
Maharashtra,Thane,Thane,Domestic Violence,10/14/2021 7:33,19.273971,73.196394,40,Male,5,7,Female,Colleague,No,Solved,Manpada
Maharashtra,Thane,Thane,Drug Offense,10/8/2021 16:27,19.276096,73.036856,55,Male,0,14,Male,Family,No,Solved,Patlipada
Maharashtra,Thane,Thane,Domestic Violence,4/3/2018 12:32,19.249499,73.010489,17,Female,4,79,Female,Stranger,Yes,Ongoing,Dhokali
Maharashtra,Thane,Thane,Kidnapping,2/25/2019 1:52,19.28736,73.100215,22,Male,0,56,Female,Family,No,Ongoing,Naupada
Maharashtra,Thane,Thane,Assault,9/18/2018 17:07,19.218102,73.161613,55,Female,3,80,Male,Neighbor,No,Pending,Kasarvadavali
Maharashtra,Thane,Thane,Assault,9/27/2024 21:53,19.2183,72.9781,41,Male,4,75,Male,Neighbor,No,Unsolved,Manpada
Maharashtra,Thane,Thane,Robbery,4/1/2021 4:16,19.164018,73.121482,51,Male,2,25,Male,Stranger,No,Solved,Louis Wadi
